iter	Logloss
0	0.5687987797
1	0.4645324286
2	0.3979312105
3	0.3446865862
4	0.3035709019
5	0.2666502963
6	0.2473600144
7	0.2291983463
8	0.2091348525
9	0.1963780747
10	0.1883991864
11	0.1760532377
12	0.1683704304
13	0.1604876382
14	0.1549375235
15	0.1488352588
16	0.1431484998
17	0.1387068343
18	0.1328743909
19	0.1276530295
20	0.1252348915
21	0.1223029478
22	0.1201058918
23	0.1191401275
24	0.1166395328
25	0.1141550208
26	0.1112502727
27	0.1088654606
28	0.1052871775
29	0.1027055134
30	0.1002631391
31	0.09785122015
32	0.09613356961
33	0.09274592271
34	0.09108183366
35	0.08981592627
36	0.08704046171
37	0.08591634458
38	0.08458525347
39	0.083216836
40	0.08137813435
41	0.07882837657
42	0.07794188544
43	0.07706699267
44	0.07482442645
45	0.07332500879
46	0.07157783184
47	0.06949512258
48	0.06796773819
49	0.06628184609
50	0.06534587574
51	0.06425440293
52	0.06315866593
53	0.06207790443
54	0.06141235597
55	0.0601822666
56	0.05931988496
57	0.05867387924
58	0.05677012709
59	0.05592797956
60	0.05515521203
61	0.05418373477
62	0.05360499015
63	0.05222419417
64	0.05127792703
65	0.0508436507
66	0.04959234033
67	0.04874957196
68	0.04803468219
69	0.0471525305
70	0.04631960372
71	0.04625393676
72	0.04535435288
73	0.04488101665
74	0.04330416229
75	0.04187616655
76	0.04124703563
77	0.04047368589
78	0.03957139529
79	0.0386657067
80	0.03769760055
81	0.0375916555
82	0.03753898754
83	0.03738785013
84	0.03683050626
85	0.03649414778
86	0.03527563456
87	0.03490802302
88	0.03430473657
89	0.03382571762
90	0.03313050002
91	0.03228666162
92	0.03141513262
93	0.03135454048
94	0.03036845195
95	0.0303176069
96	0.02991341543
97	0.02906020126
98	0.02841166839
99	0.02809707105
100	0.02753746327
101	0.02736004895
102	0.02688595283
103	0.02642883561
104	0.02587715076
105	0.0254365378
106	0.02540266591
107	0.02507925198
108	0.02465087347
109	0.02435211118
110	0.02424222971
111	0.02397637778
112	0.02381775764
113	0.02343499018
114	0.02309018943
115	0.02241835455
116	0.02215253251
117	0.02176180145
118	0.02125611025
119	0.02087555673
120	0.02054524033
121	0.02007556806
122	0.01962581552
123	0.01939805602
124	0.01926810539
125	0.01912618569
126	0.01876912063
127	0.01844525761
128	0.01822491337
129	0.01801411102
130	0.01791436348
131	0.01764483942
132	0.0175813689
133	0.01745960965
134	0.01727546839
135	0.01719007066
136	0.01687155227
137	0.01665943635
138	0.01647044241
139	0.01627233307
140	0.01607008834
141	0.01586585778
142	0.01561293311
143	0.01548097804
144	0.01534805157
145	0.01513031251
146	0.01511959815
147	0.0149862127
148	0.01479183403
149	0.01463453573
150	0.01439224843
151	0.01430529267
152	0.01417135544
153	0.01402988003
154	0.01376140019
155	0.01358061439
156	0.01347267053
157	0.01326737592
158	0.01317767376
159	0.01302161368
160	0.01287781953
161	0.01263322993
162	0.01248752929
163	0.01240055536
164	0.01225011822
165	0.01223993998
166	0.01207530325
167	0.0120682671
168	0.01194760731
169	0.01182146169
170	0.01162038714
171	0.01148774726
172	0.01143910439
173	0.01134047276
174	0.01120406633
175	0.01105887156
176	0.01089122294
177	0.01072937333
178	0.01066881224
179	0.01064016102
180	0.01050693491
181	0.01050020906
182	0.01035635294
183	0.01031405387
184	0.01020493701
185	0.01006172291
186	0.009998776494
187	0.009903092414
188	0.009896824825
189	0.009857573313
190	0.009747240119
191	0.00964303403
192	0.009539324841
193	0.009529266914
194	0.009523419996
195	0.009457103246
196	0.009353213714
197	0.009264653229
198	0.009159625263
199	0.00908158207
200	0.009040238359
201	0.008926177821
202	0.00884660978
203	0.008745306067
204	0.008652920658
205	0.00861619154
206	0.008540194845
207	0.008534093126
208	0.008529228051
209	0.008491499989
210	0.008394920252
211	0.008282893436
212	0.008219297438
213	0.008186613784
214	0.008109584964
215	0.008060216201
216	0.007937893824
217	0.007904366281
218	0.007902146782
219	0.007883523131
220	0.00787919538
221	0.007764887477
222	0.007703426643
223	0.007633229722
224	0.007584317555
225	0.007526982239
226	0.007463311048
227	0.007365484583
228	0.007313460149
229	0.007239165831
230	0.007189480994
231	0.007170568582
232	0.007161008019
233	0.007142067815
234	0.007083676714
235	0.007010827628
236	0.006943150648
237	0.006864505337
238	0.006834938209
239	0.006808857069
240	0.006749106659
241	0.006690532993
242	0.006624848816
243	0.006621492875
244	0.006606968203
245	0.006603616738
246	0.006551552537
247	0.006447676853
248	0.006409380505
249	0.006359256086
250	0.006294542708
251	0.006229792837
252	0.006194771296
253	0.006156302354
254	0.006097448954
255	0.006046491267
256	0.005996044252
257	0.00598867621
258	0.005972920883
259	0.005970061197
260	0.005936819153
261	0.005934163922
262	0.005884496682
263	0.005816521612
264	0.005785961798
265	0.005713252965
266	0.005688769892
267	0.005658951068
268	0.005630488483
269	0.005622208686
270	0.005600727319
271	0.005582049345
272	0.005534933533
273	0.005496306578
274	0.005433660408
275	0.005406110732
276	0.005404322253
277	0.005366411379
278	0.005347442842
279	0.005335727483
280	0.005315396542
281	0.005282801758
282	0.005255043179
283	0.005212892417
284	0.005177485636
285	0.005138129013
286	0.005102506968
287	0.005054231749
288	0.005033658075
289	0.005002849206
290	0.00496863477
291	0.004929792758
292	0.004929795484
293	0.004899649812
294	0.004886816544
295	0.004886217133
296	0.004863159227
297	0.004848087423
298	0.004846584083
299	0.004845017067
